City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
83,Chuy,UY,-33.7,-53.46,65.88,78,12,10.6,few clouds
84,Namatanai,PG,-3.67,152.43,81.68,72,68,5.01,broken clouds
85,Bilibino,RU,68.05,166.44,0.39,90,100,2.06,overcast clouds
86,Vestmannaeyjar,IS,63.44,-20.27,45.43,74,100,19.98,light rain
87,Hare Bay,CA,48.85,-54.01,37.4,87,75,16.11,shower rain
88,Port-Gentil,GA,-0.72,8.78,78.8,94,75,11.41,thunderstorm
89,Beringovskiy,RU,63.05,179.32,28.6,89,34,7.65,scattered clouds
90,Norman Wells,CA,65.28,-126.83,24.8,92,75,2.24,light snow
91,Jiwani,PK,25.05,61.74,75.47,72,0,4.52,clear sky
92,Ulladulla,AU,-35.35,150.47,59.0,71,90,5.82,overcast clouds
93,Cuenca,EC,-2.88,-78.98,62.6,59,90,5.82,shower rain
94,Grajau,BR,-5.82,-46.14,79.84,78,63,3.02,broken clouds
95,Masunga,BW,-20.62,27.45,80.06,35,5,6.29,clear sky
96,Saint George,US,37.1,-113.58,60.8,18,1,20.8,clear sky
97,Kargil,IN,34.57,76.1,25.21,68,0,1.3,clear sky
98,Havre-Saint-Pierre,CA,50.23,-63.6,33.8,50,1,10.29,clear sky
99,Margate,GB,51.38,1.39,54.0,91,31,1.99,scattered clouds
100,Hobyo,SO,5.35,48.53,79.41,78,52,10.63,broken clouds
101,Obo,CF,5.4,26.49,71.02,91,100,2.42,overcast clouds
102,Ha Giang,VN,22.83,104.98,64.71,72,49,4.09,scattered clouds
103,Lufilufi,WS,-13.87,-171.6,84.2,83,75,4.7,broken clouds
104,Yarmouth,US,41.71,-70.23,71.6,49,1,8.05,clear sky
105,Hasaki,JP,35.73,140.83,55.4,100,75,2.24,mist
106,Mount Isa,AU,-20.73,139.5,77.0,13,18,10.29,few clouds
107,Dhandhuka,IN,22.37,71.98,76.86,31,0,6.49,clear sky
108,Grand Gaube,MU,-20.01,57.66,71.01,76,26,1.99,scattered clouds
109,Somerset East,ZA,-32.72,25.59,62.1,65,28,3.76,scattered clouds
110,Paita,PE,-5.09,-81.11,67.33,73,26,15.66,scattered clouds
111,Tasiilaq,GL,65.61,-37.64,28.4,92,75,9.17,broken clouds
112,Rocha,UY,-34.48,-54.33,66.65,75,24,9.42,few clouds
113,Carballo,ES,43.21,-8.69,60.01,93,75,4.7,light rain
114,San Carlos De Bariloche,AR,-41.15,-71.31,75.2,26,40,11.41,scattered clouds
115,San Jeronimo,PE,-11.95,-75.28,56.07,59,87,4.94,light rain
116,Boone,US,39.03,-92.33,73.99,39,0,8.99,clear sky
117,Dukat,RU,62.55,155.55,-6.03,90,97,3.67,overcast clouds
118,Talnakh,RU,69.49,88.4,19.4,79,75,13.42,light shower snow
119,Iqaluit,CA,63.75,-68.51,10.4,78,75,5.82,broken clouds
120,Dingle,PH,11.0,122.67,73.4,91,96,0.96,overcast clouds
121,Vila,PT,42.03,-8.16,54.0,95,98,4.61,overcast clouds
122,Vila Velha,BR,-20.33,-40.29,77.0,78,75,6.93,broken clouds
123,Mashhad,IR,36.3,59.61,59.0,34,100,11.41,overcast clouds
124,Hambantota,LK,6.12,81.12,79.14,81,0,9.75,light rain
125,Huarmey,PE,-10.07,-78.15,66.47,71,4,11.34,clear sky
126,Faanui,PF,-16.48,-151.75,78.93,79,70,12.01,broken clouds
127,Port Blair,IN,11.67,92.75,80.96,80,0,7.36,clear sky
128,Mecca,SA,21.43,39.83,77.5,64,6,3.4,clear sky
129,Ponta Do Sol,PT,32.67,-17.1,66.2,68,20,3.36,few clouds
130,Rzhev,RU,56.26,34.33,43.81,94,43,13.53,scattered clouds
131,Khatanga,RU,71.97,102.5,-4.34,87,9,12.75,clear sky
132,Puerto Carreno,CO,6.19,-67.49,90.72,58,57,1.95,light rain
133,San Patricio,US,28.02,-97.52,82.4,54,20,12.75,few clouds
134,Alice Springs,AU,-23.7,133.88,60.8,23,0,4.7,clear sky
135,Mehamn,NO,71.04,27.85,38.44,75,73,24.63,broken clouds
136,Kapaa,US,22.08,-159.32,82.4,78,40,13.87,scattered clouds
137,Bilma,NE,18.69,12.92,71.24,28,0,11.95,clear sky
138,Dawlatabad,AF,36.41,64.91,61.63,27,74,4.81,broken clouds
139,Palmer,US,42.16,-72.33,77.0,29,40,4.7,scattered clouds
140,Vao,NC,-22.67,167.48,73.31,73,73,11.32,broken clouds
141,Imbituba,BR,-28.24,-48.67,75.2,60,20,14.99,few clouds
142,Tura,IN,25.52,90.22,64.6,89,0,4.54,clear sky
143,Yellowknife,CA,62.46,-114.35,12.2,85,90,5.82,light snow
144,Jalu,LY,29.03,21.55,64.35,69,0,12.88,clear sky
145,Kodiak,US,57.79,-152.41,44.6,75,90,11.41,light rain
146,Atuona,PF,-9.8,-139.03,77.86,70,66,13.4,broken clouds
147,Roma,US,43.21,-75.46,69.8,46,1,10.29,clear sky
148,Sibolga,ID,1.74,98.78,77.0,80,100,4.36,light rain
149,Deloraine,AU,-41.53,146.67,51.01,93,14,1.01,few clouds
150,Binga,ZW,-17.62,27.34,84.27,32,10,1.99,clear sky
151,Boa Vista,BR,2.82,-60.67,78.8,83,75,14.99,moderate rain
152,Dentsville,US,34.06,-80.96,80.6,47,75,5.82,broken clouds
153,Ust-Ilimsk,RU,58.0,102.66,25.84,98,100,5.19,light snow
154,Praia Da Vitoria,PT,38.73,-27.07,60.8,72,40,18.59,scattered clouds
155,Touros,BR,-5.2,-35.46,82.4,74,40,12.75,scattered clouds
156,Saint-Louis,SN,16.33,-15.0,94.26,20,0,9.82,clear sky
157,Lasa,IT,46.62,10.7,46.0,80,5,1.72,clear sky
158,Jerome,US,42.72,-114.52,45.0,70,90,14.99,overcast clouds
159,Kadnikov,RU,59.5,40.34,43.09,87,100,13.22,overcast clouds
160,Hokitika,NZ,-42.72,170.97,51.6,77,100,8.75,overcast clouds
161,Pocone,BR,-16.26,-56.62,93.24,40,100,1.54,overcast clouds
162,Airai,TL,-8.93,125.41,62.82,56,90,2.24,overcast clouds
