City_ID,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
273,Cape Canaveral,US,80.6,28.41,-80.6,clear sky,Residence Inn by Marriott Cape Canaveral Cocoa Beach
277,Mogadishu,SO,79.79,2.04,45.34,moderate rain,Hotel Juba
278,San Cristobal,VE,84.2,7.77,-72.22,scattered clouds,Pirineos
279,Barra Patuca,HN,82.83,15.8,-84.28,broken clouds,
289,Daru,PG,76.57,-9.08,143.21,overcast clouds,New century hotel
293,Sur,OM,75.36,22.57,59.53,clear sky,Sur Plaza Hotel
299,Bathsheba,BB,82.4,13.22,-59.52,shower rain,Atlantis Hotel
300,Axim,GH,78.73,4.87,-2.24,light rain,AXIM BEACH RESORT AND SPA
301,Houston,US,82.99,29.76,-95.36,clear sky,"Hotel ICON, Autograph Collection"
302,Werda,BW,83.39,-25.27,23.28,clear sky,
303,Maiduguri,NG,75.88,11.85,13.16,clear sky,College of Nursing & Midwifery Female's Hostel
305,Salalah,OM,75.2,17.02,54.09,clear sky,HAMDAN PLAZA HOTEL
314,Ovalle,CL,75.36,-30.6,-71.2,clear sky,Hotel Altos de Tuqui
332,Carauari,BR,87.67,-4.88,-66.9,overcast clouds,Pousada Lobo
339,San Rafael,AR,87.06,-34.62,-68.33,clear sky,Hotel San Rafael
341,Edea,CM,77.0,3.8,10.13,broken clouds,Micotel Hotel
344,Gamba,GA,77.11,-2.65,10.0,light rain,
346,Sainte-Rose,GP,82.4,16.33,-61.7,overcast clouds,Villa - Duzer
347,Boqueirao,BR,82.4,-7.5,-36.13,broken clouds,Hotel Chique Chique
348,Olinda,BR,82.4,-8.01,-34.86,broken clouds,Hotel 5 Sóis
350,Macau,MO,78.8,22.2,113.55,few clouds,Grand Emperor Hotel
356,Porto Novo,BJ,82.4,6.5,2.6,few clouds,Tour Eiffel Hotel Benin
359,Totness,SR,81.23,5.88,-56.32,scattered clouds,STAATS LOGEERGEBOUW TOTNESS
366,Grafton,US,75.2,42.21,-71.69,clear sky,The Grafton Inn
367,Belmonte,BR,78.8,-15.86,-38.88,scattered clouds,Pousada Monte Carmelo O Pão
370,Nchelenge,ZM,77.25,-9.35,28.73,clear sky,Mweru Water Transport
371,Mabaruma,GY,81.73,8.2,-59.78,light rain,
374,Gorontalo,ID,75.33,0.54,123.06,light rain,Maqna Hotel by Prasanthi
377,Bom Jesus Da Lapa,BR,78.82,-13.26,-43.42,heavy intensity rain,Hotel das Nações
383,Maxixe,MZ,77.81,-23.86,35.35,few clouds,Oceano
385,Alta Floresta,BR,88.45,-9.88,-56.09,overcast clouds,Floresta Amazonica Hotel
399,Bandarbeyla,SO,76.21,9.49,50.81,broken clouds,REER XOOSHLE GROUP
403,Savannah Bight,HN,80.6,16.45,-85.85,shower rain,Villa on Dunbar Rock
410,Kloulklubed,PW,77.0,7.04,134.26,overcast clouds,Storyboard Beach Resort
413,Maningrida,AU,81.32,-12.07,134.27,broken clouds,Dhukurrdji Lodge
419,Labuhan,ID,78.49,-6.88,112.21,clear sky,bador sepret
420,Voh,NC,78.4,-20.97,164.7,clear sky,Le gîte du Koniambo
424,Caravelas,BR,76.48,-17.71,-39.25,clear sky,Pousada dos Navegantes
426,Burlington,US,75.2,39.88,-74.64,clear sky,Delanco Camp
443,Avera,US,80.6,33.19,-82.53,broken clouds,
445,Bengkulu,ID,75.83,-3.8,102.27,broken clouds,Grage Hotel Bengkulu
448,Chiredzi,ZW,84.67,-21.05,31.67,clear sky,The Nesbitt Arms
453,Bambanglipuro,ID,78.08,-7.95,110.28,broken clouds,Puri Brata
455,Lamar,US,78.01,33.67,-95.58,scattered clouds,Kings Inn Paris TX
457,Sal Rei,CV,78.8,16.18,-22.92,broken clouds,Marine Club Beach Resort
463,Puerto Baquerizo Moreno,EC,75.2,-0.9,-89.6,few clouds,Hotel los Algarrobos
467,Ursulo Galvan,MX,88.0,22.73,-98.3,scattered clouds,HOTEL LAS FUENTES DEL BERNAL
469,Miraflores,MX,87.8,19.22,-98.81,clear sky,Hotel Mansión
478,Inyonga,TZ,75.99,-6.72,32.07,broken clouds,Eden Rock Lodge
479,Maceio,BR,80.6,-9.67,-35.74,broken clouds,Mercure Maceio Pajucara Hotel
480,Cururupu,BR,80.82,-1.83,-44.87,overcast clouds,Pousada Través'cia
481,Neuquen,AR,86.0,-38.95,-68.06,clear sky,Hotel del Comahue
484,Moron,AR,79.0,-34.65,-58.62,clear sky,Hotel Morón
485,Inhambane,MZ,78.21,-23.86,35.38,few clouds,Oceano
486,San-Pedro,CI,78.12,4.75,-6.64,overcast clouds,Hotel Maria
489,Luanda,AO,78.8,-8.84,13.23,broken clouds,EPIC SANA Luanda
491,Atar,MR,87.04,20.52,-13.05,overcast clouds,Oumou Elghoura
492,Joanopolis,BR,75.2,-22.93,-46.28,clear sky,Espaço Orchestra do Silêncio
494,Meulaboh,ID,76.32,4.14,96.13,overcast clouds,Kost Pria
496,Harper,LR,79.66,4.38,-7.72,overcast clouds,Screensaver
498,Elizabeth City,US,75.2,36.29,-76.25,clear sky,Hampton Inn Elizabeth City
501,Puerto Gaitan,CO,88.11,4.31,-72.08,light rain,Brisas del Yucao
503,Puerto Ayacucho,VE,86.22,5.66,-67.62,light rain,Posada Turistica Manapiare
504,Licheng,CN,75.99,23.3,113.83,clear sky,Xincheng Tourism Industry
505,Boueni,YT,77.0,-12.9,45.08,clear sky,Auberge bouloulou( inter djasmire )
512,Kuala Terengganu,MY,78.8,5.33,103.14,light rain,Hotel Grand Continental Kuala Terengganu (4 Star)
514,Kieta,PG,81.45,-6.22,155.63,clear sky,
519,Padang,ID,77.88,-0.95,100.35,light rain,Mercure Padang
